Time,Potential,ADJ,MIN,MAX,AVG,AXIS 1,AXIS 2,AREA,AVG AREA,DURATION,AVG RPU
59.8,-0.058,-2.575235286,,,-2.517235286,,,,,,
60,-0.053,-2.570235286,,,-2.517235286,,,,,,
60.2,-0.053,-2.570235286,,,-2.517235286,,,,,,
60.4,-0.058,-2.575235286,,,-2.517235286,,,,,,
60.6,-0.058,-2.575235286,,,-2.517235286,,,,,,
60.8,-0.053,-2.570235286,,,-2.517235286,,,,,,
61,-0.049,-2.566235286,,,-2.517235286,,,,,,
61.2,-0.044,-2.561235286,,,-2.517235286,,,,,,
61.4,-0.049,-2.566235286,,,-2.517235286,,,,,,
61.6,-0.044,-2.561235286,,,-2.517235286,,,,,,
61.8,-0.039,-2.556235286,,,-2.517235286,,,,,,
62,-0.039,-2.556235286,,,-2.517235286,,,,,,
62.2,-0.034,-2.551235286,,,-2.517235286,,,,,,
62.4,-0.034,-2.551235286,,,-2.517235286,,,,,,
62.6,-0.039,-2.556235286,,,-2.517235286,,,,,,
62.8,-0.034,-2.551235286,,,-2.517235286,,,,,,
63,-0.034,-2.551235286,,,-2.517235286,,,,,,
63.2,-0.034,-2.551235286,,,-2.517235286,,,,,,
63.4,-0.034,-2.551235286,,,-2.517235286,,,,,,
63.6,-0.034,-2.551235286,,,-2.517235286,,,,,,
63.8,-0.034,-2.551235286,,,-2.517235286,,,,,,
64,-0.034,-2.551235286,,,-2.517235286,,,,,,
64.2,-0.029,-2.546235286,,,-2.517235286,,,,,,
64.4,-0.029,-2.546235286,,,-2.517235286,,,,,,
64.6,-0.029,-2.546235286,,,-2.517235286,,,,,,
64.8,-0.029,-2.546235286,,,-2.517235286,,,,,,
65,-0.029,-2.546235286,,,-2.517235286,,,,,,
65.2,-0.029,-2.546235286,,,-2.517235286,,,,,,
65.4,-0.024,-2.541235286,,,-2.517235286,,,,,,
65.6,-0.029,-2.546235286,,,-2.517235286,,,,,,
65.8,-0.029,-2.546235286,,,-2.517235286,,,,,,
66,-0.029,-2.546235286,,,-2.517235286,,,,,,
66.2,-0.029,-2.546235286,,,-2.517235286,,,,,,
66.4,-0.029,-2.546235286,,,-2.517235286,,,,,,
66.6,-0.024,-2.541235286,,,-2.517235286,,,,,,
66.8,-0.029,-2.546235286,,,-2.517235286,,,,,,
67,-0.024,-2.541235286,,,-2.517235286,,,,,,
67.2,-0.024,-2.541235286,,,-2.517235286,,,,,,
67.4,-0.029,-2.546235286,,,-2.517235286,,,,,,
67.6,-0.024,-2.541235286,,,-2.517235286,,,,,,
67.8,-0.024,-2.541235286,,,-2.517235286,,,,,,
68,-0.029,-2.546235286,,,-2.517235286,,,,,,
68.2,-0.024,-2.541235286,,,-2.517235286,,,,,,
68.4,-0.024,-2.541235286,,,-2.517235286,,,,,,
68.6,-0.024,-2.541235286,,,-2.517235286,,,,,,
68.8,-0.024,-2.541235286,,,-2.517235286,,,,,,
69,-0.024,-2.541235286,,,-2.517235286,,,,,,
69.2,-0.024,-2.541235286,,,-2.517235286,,,,,,
69.4,-0.024,-2.541235286,,,-2.517235286,,,,,,
69.6,-0.024,-2.541235286,,,-2.517235286,,,,,,
69.8,-0.029,-2.546235286,,,-2.517235286,,,,,,
70,-0.029,-2.546235286,,,-2.517235286,,,,,,
70.2,-0.029,-2.546235286,,,-2.517235286,,,,,,
70.4,-0.029,-2.546235286,,,-2.517235286,,,,,,
70.6,-0.024,-2.541235286,,,-2.517235286,,,,,,
70.8,-0.034,-2.551235286,,,-2.517235286,,,,,,
71,-0.029,-2.546235286,,,-2.517235286,,,,,,
71.2,-0.029,-2.546235286,,,-2.517235286,,,,,,
71.4,-0.029,-2.546235286,,,-2.517235286,,,,,,
71.6,-0.024,-2.541235286,,,-2.517235286,,,,,,
71.8,-0.029,-2.546235286,,,-2.517235286,,,,,,
72,-0.029,-2.546235286,,,-2.517235286,,,,,,
72.2,-0.024,-2.541235286,,,-2.517235286,,,,,,
72.4,-0.024,-2.541235286,,,-2.517235286,,,,,,
72.6,-0.024,-2.541235286,,,-2.517235286,,,,,,
72.8,-0.024,-2.541235286,,,-2.517235286,,,,,,
73,-0.024,-2.541235286,,,-2.517235286,,,,,,
