"Time","Potential 2","Potential 1"
233.8,0.192,
234.0,0.182,
234.2,0.168,
234.4,0.158,
234.6,0.158,
234.8,0.149,
235.0,0.144,
235.2,0.134,
235.4,0.129,
235.6,0.125,
235.8,0.120,
236.0,0.120,
236.2,0.115,
236.4,0.115,
236.6,0.105,
236.8,0.105,
237.0,0.100,
237.2,0.086,
237.4,0.100,
237.6,0.091,
237.8,0.081,
238.0,0.081,
238.2,0.071,
238.4,0.067,
238.6,0.062,
238.8,0.052,
239.0,0.052,
239.2,0.042,
239.4,0.047,
239.6,0.033,
239.8,-0.025,
240.0,-0.020,
240.2,-0.025,
240.4,-0.040,
240.6,-0.054,
240.8,-0.088,
241.0,-0.088,
241.2,-0.102,
241.4,-0.092,
241.6,-0.141,
241.8,-0.146,
242.0,-0.165,
242.2,-0.179,
242.4,-0.184,
242.6,-0.189,
242.8,-0.199,
243.0,-0.218,
243.2,-0.213,
243.4,-0.257,
243.6,-0.262,
243.8,-0.266,
244.0,-0.271,
244.2,-0.281,
244.4,-0.281,
244.6,-0.286,
244.8,-0.286,
245.0,-0.290,
245.2,-0.290,
245.4,-0.295,
245.6,-0.290,
245.8,-0.295,
246.0,-0.295,
246.2,-0.300,
246.4,-0.300,
246.6,-0.295,
246.8,-0.300,
247.0,-0.305,
247.2,-0.305,
247.4,-0.305,
247.6,-0.305,
247.8,-0.305,
248.0,-0.305,
248.2,-0.310,
248.4,-0.300,
248.6,-0.305,
248.8,-0.305,
249.0,-0.305,
249.2,-0.305,
249.4,-0.310,
249.6,-0.310,
249.8,-0.310,
250.0,-0.314,
250.2,-0.319,
250.4,-0.319,
250.6,-0.324,
250.8,-0.319,
251.0,-0.324,
251.2,-0.329,
251.4,-0.329,
251.6,-0.329,
251.8,-0.334,
252.0,-0.329,
252.2,-0.334,
252.4,-0.334,
252.6,-0.338,
252.8,-0.334,
253.0,-0.334,
253.2,-0.334,
253.4,-0.329,
253.6,-0.324,
253.8,-0.329,
254.0,-0.329,
254.2,-0.324,
254.4,-0.319,
254.6,-0.319,
254.8,-0.319,
255.0,-0.319,
255.2,-0.314,
255.4,-0.305,
255.6,-0.310,
255.8,-0.305,
256.0,-0.305,
256.2,-0.300,
256.4,-0.300,
256.6,-0.300,
256.8,-0.300,
257.0,-0.305,
257.2,-0.300,
257.4,-0.300,
257.6,-0.300,
257.8,-0.300,
258.0,-0.300,
258.2,-0.305,
258.4,-0.300,
258.6,-0.300,
258.8,-0.305,
259.0,-0.300,
259.2,-0.310,
259.4,-0.305,
259.6,-0.305,
259.8,-0.310,
260.0,-0.310,
260.2,-0.305,
260.4,-0.310,
260.6,-0.305,
260.8,-0.305,
261.0,-0.300,
261.2,-0.305,
261.4,-0.305,
261.6,-0.310,
261.8,-0.319,
262.0,-0.401,
262.2,-0.425,
262.4,-0.459,
262.6,-0.440,
262.8,-0.440,
263.0,-0.459,
263.2,-0.479,
263.4,-0.479,
263.6,-0.488,
263.8,-0.503,
264.0,-0.483,
264.2,-0.483,
264.4,-0.479,
264.6,-0.488,
264.8,-0.493,
265.0,-0.474,
265.2,-0.474,
265.4,-0.474,
265.6,-0.479,
265.8,-0.464,
266.0,-0.464,
266.2,-0.450,
266.4,-0.454,
266.6,-0.440,
266.8,-0.435,
267.0,-0.425,
267.2,-0.425,
267.4,-0.421,
267.6,-0.421,
267.8,-0.421,
268.0,-0.416,
268.2,-0.396,
268.4,-0.396,
268.6,-0.396,
268.8,-0.396,
269.0,-0.392,
269.2,-0.396,
269.4,-0.416,
269.6,-0.392,
269.8,-0.387,
270.0,-0.382,
270.2,-0.387,
270.4,-0.382,
270.6,-0.377,
270.8,-0.377,
271.0,-0.387,
271.2,-0.377,
271.4,-0.382,
271.6,-0.372,
271.8,-0.377,
272.0,-0.382,
272.2,-0.372,
272.4,-0.377,
272.6,-0.377,
272.8,-0.377,
273.0,-0.372,
273.2,-0.377,
273.4,-0.377,
273.6,-0.377,
273.8,-0.377,
274.0,-0.377,
274.2,-0.372,
274.4,-0.367,
274.6,-0.372,
274.8,-0.358,
275.0,-0.348,
275.2,-0.363,
275.4,-0.343,
275.6,-0.358,
275.8,-0.324,
276.0,-0.338,
276.2,-0.348,
276.4,-0.329,
276.6,-0.329,
276.8,-0.324,
277.0,-0.319,
277.2,-0.286,
277.4,-0.271,
277.6,-0.319,
277.8,-0.305,
278.0,-0.310,
278.2,-0.271,
278.4,-0.300,
278.6,-0.300,
278.8,-0.295,
279.0,-0.281,
279.2,-0.286,
279.4,-0.295,
279.6,-0.281,
279.8,-0.295,
280.0,-0.266,
280.2,-0.271,
280.4,-0.295,
280.6,-0.281,
280.8,-0.290,
281.0,-0.290,
281.2,-0.300,
281.4,-0.310,
281.6,-0.300,
281.8,-0.305,
282.0,-0.300,
282.2,-0.305,
282.4,-0.314,
282.6,-0.319,
282.8,-0.319,
283.0,-0.334,
283.2,-0.324,
283.4,-0.363,
283.6,-0.310,
283.8,-0.343,
284.0,-0.358,
284.2,-0.363,
284.4,-0.363,
284.6,-0.334,
284.8,-0.367,
285.0,-0.377,
285.2,-0.372,
285.4,-0.377,
285.6,-0.377,
285.8,-0.377,
286.0,-0.377,
286.2,-0.377,
286.4,-0.372,
286.6,-0.377,
286.8,-0.377,
287.0,-0.372,
287.2,-0.377,
287.4,-0.377,
287.6,-0.377,
287.8,-0.382,
288.0,-0.411,
288.2,-0.382,
288.4,-0.401,
288.6,-0.382,
288.8,-0.382,
289.0,-0.396,
289.2,-0.387,
289.4,-0.396,
289.6,-0.396,
289.8,-0.396,
290.0,-0.411,
